Year,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,OP_EXPENSES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,YEAR,QUARTER,source_file
2023,-92595.0,-92434.0,,348563.0,43110.0,17513.0,,440997.0,20107,FX,Federal Express Corporation,2023,3,Airline_Financial_2023.csv
2023,-90765.0,-93591.0,,339027.0,46718.0,20357.0,,432618.0,20107,FX,Federal Express Corporation,2023,4,Airline_Financial_2023.csv
2023,-90506.64,-97896.7,608244.59,1175653.34,715611.16,71797.46,60194.01,1273550.03,20416,NK,Spirit Air Lines,2023,1,Airline_Financial_2023.csv
2023,-89175.51,-89330.76,143826.04,143826.04,116882.94,69991.6,25028.93,233156.8,20363,9E,Endeavor Air Inc.,2023,1,Airline_Financial_2023.csv
2023,-85584.19,-87176.94,135872.16,135872.16,105987.33,70801.01,25738.0,223049.09,20363,9E,Endeavor Air Inc.,2023,2,Airline_Financial_2023.csv
2023,-83882.43,5627.38,506239.34,839170.1,534746.84,55588.99,49805.28,833542.72,20436,F9,Frontier Airlines Inc.,2023,4,Airline_Financial_2023.csv
2023,-81494.79,-81882.13,137737.43,137737.43,103917.67,71112.74,25452.45,219619.56,20363,9E,Endeavor Air Inc.,2023,3,Airline_Financial_2023.csv
2023,-80714.28,-81753.38,139841.55,139841.55,99034.78,70082.94,25379.94,221594.93,20363,9E,Endeavor Air Inc.,2023,4,Airline_Financial_2023.csv
2023,-77875.92,-77875.92,252298.55,315643.55,168904.26,54343.93,33259.4,393519.47,19805,AA,American Airlines Inc.,2023,4,Airline_Financial_2023.csv
2023,-76480.0,-107080.0,,354290.0,61485.0,12901.0,,461370.0,20107,FX,Federal Express Corporation,2023,2,Airline_Financial_2023.csv
2023,-74171.0,-80155.0,,342377.0,65281.0,12668.0,,422532.0,20107,FX,Federal Express Corporation,2023,1,Airline_Financial_2023.csv
2023,-64298.35,-64298.35,250584.38,306619.08,149314.63,45377.84,28725.38,370917.43,19805,AA,American Airlines Inc.,2023,3,Airline_Financial_2023.csv
2023,-52031.0,47819.0,1689575.0,2390654.0,863909.0,170699.0,181133.0,2342835.0,19930,AS,Alaska Airlines Inc.,2023,4,Airline_Financial_2023.csv
2023,-50205.64,-49839.18,40486.52,97112.01,91649.02,10634.83,6883.5,146951.18,22080,MX,Breeze Aviation Group DBA  Breeze,2023,3,Airline_Financial_2023.csv
2023,-50176.05,-59559.69,513629.92,564214.28,292413.96,182215.38,46555.56,623773.96,20304,OO,SkyWest Airlines Inc.,2023,1,Airline_Financial_2023.csv
2023,-47861.61,-47961.13,21073.43,67377.61,71266.71,7659.84,5624.11,115338.74,22080,MX,Breeze Aviation Group DBA  Breeze,2023,1,Airline_Financial_2023.csv
2023,-43791.12,1853.66,106621.64,106621.64,41320.68,33474.58,4675.58,104767.97,20378,YV,Mesa Airlines Inc.,2023,4,Airline_Financial_2023.csv
2023,-43110.93,-36012.15,0.0,56865.57,47518.72,4193.6,0.0,92877.73,21629,KD,Western Global,2023,3,Airline_Financial_2023.csv
2023,-40824.85,-19993.67,0.0,37661.7,25995.62,3833.42,0.0,57655.37,21629,KD,Western Global,2023,1,Airline_Financial_2023.csv
2023,-37667.21,-4517.97,103912.28,103912.28,41190.67,36751.17,4697.19,108430.25,20378,YV,Mesa Airlines Inc.,2023,2,Airline_Financial_2023.csv
2023,-35413.3,-31306.06,45697.17,120878.83,91304.47,10732.19,10138.5,152184.89,22080,MX,Breeze Aviation Group DBA  Breeze,2023,4,Airline_Financial_2023.csv
2023,-30897.94,10512.91,1001138.48,1198205.89,480798.03,105367.26,96642.99,1187692.97,19977,UA,United Air Lines Inc.,2023,4,Airline_Financial_2023.csv
2023,-29178.25,-28946.14,0.0,64336.05,76965.67,4455.05,0.0,93282.19,20405,N8,National Air Cargo Group Inc d/ba National Airlines,2023,1,Airline_Financial_2023.csv
2023,-28030.91,-28004.59,44201.32,99875.24,80023.04,9375.25,6325.6,127879.82,22080,MX,Breeze Aviation Group DBA  Breeze,2023,2,Airline_Financial_2023.csv
2023,-27399.63,8433.1,1311405.98,1516253.1,727268.01,126830.91,161584.48,1507820.0,19977,UA,United Air Lines Inc.,2023,4,Airline_Financial_2023.csv
2023,-26829.73,-46738.73,488352.44,817836.91,546108.1,69753.8,52414.8,864575.65,20436,F9,Frontier Airlines Inc.,2023,3,Airline_Financial_2023.csv
2023,-25732.35,-25732.35,211237.52,264569.46,118500.3,38259.85,24615.25,290301.81,19805,AA,American Airlines Inc.,2023,1,Airline_Financial_2023.csv
2023,-24545.58,2448.25,113384.82,113384.82,44862.24,31994.48,4916.28,110936.57,20378,YV,Mesa Airlines Inc.,2023,1,Airline_Financial_2023.csv
2023,-24537.46,9787.51,978870.18,1173350.06,420976.82,101127.46,91934.21,1163562.54,19977,UA,United Air Lines Inc.,2023,2,Airline_Financial_2023.csv
2023,-24329.18,-9999.45,0.0,57084.57,25601.15,14545.79,2860.5,67084.02,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2023,4,Airline_Financial_2023.csv
2023,-23648.47,-24638.94,0.0,54660.25,23350.82,24336.32,0.0,79299.19,20453,ABX,ABX Air Inc,2023,4,Airline_Financial_2023.csv
2023,-21854.57,-25562.71,77162.68,157289.44,99384.07,10542.23,10074.68,182852.15,20416,NK,Spirit Air Lines,2023,4,Airline_Financial_2023.csv
2023,-20981.81,-17507.37,0.0,62145.55,31075.79,12224.23,0.0,79652.93,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2023,2,Airline_Financial_2023.csv
2023,-20954.32,-25104.96,80818.09,167386.17,105248.77,11932.04,11041.06,192491.13,20416,NK,Spirit Air Lines,2023,3,Airline_Financial_2023.csv
2023,-20255.87,-40562.45,537172.87,601174.44,256836.32,233191.02,55217.19,641736.89,20304,OO,SkyWest Airlines Inc.,2023,4,Airline_Financial_2023.csv
2023,-20210.44,-30215.14,539456.18,581610.38,255859.34,200421.95,49993.85,611825.52,20304,OO,SkyWest Airlines Inc.,2023,2,Airline_Financial_2023.csv
2023,-19301.75,-18748.81,0.0,40383.99,39799.62,8897.79,0.0,59132.8,20108,NC,Northern Air Cargo Inc.,2023,4,Airline_Financial_2023.csv
2023,-19084.41,-25464.31,,343221.41,137400.88,97762.84,,368685.71,20370,KAQ,Kalitta Air LLC,2023,1,Airline_Financial_2023.csv
2023,-18672.0,-22345.0,117324.0,126965.0,65470.0,13728.0,13353.0,149310.0,19930,AS,Alaska Airlines Inc.,2023,1,Airline_Financial_2023.csv
2023,-17236.05,-11880.36,12154.57,12154.57,4739.58,15857.22,560.61,24034.93,20378,YV,Mesa Airlines Inc.,2023,4,Airline_Financial_2023.csv
2023,-16424.85,-9020.45,14803.92,18045.1,9468.31,2704.75,4258.51,27065.55,20401,3M,Silver Airways,2023,4,Airline_Financial_2023.csv
2023,-16328.57,-15978.23,48809.69,48911.76,22347.0,24033.64,2418.79,64889.99,20046,ZW,Air Wisconsin Airlines Corp,2023,2,Airline_Financial_2023.csv
2023,-15376.56,-13254.49,0.0,54598.7,24926.23,13480.25,0.0,67853.19,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2023,3,Airline_Financial_2023.csv
2023,-15075.07,-11566.8,10779.05,10779.05,4217.64,14950.73,509.6,22345.85,20378,YV,Mesa Airlines Inc.,2023,2,Airline_Financial_2023.csv
2023,-14974.6,-14762.09,0.0,30332.72,31221.87,5885.82,0.0,45094.81,20108,NC,Northern Air Cargo Inc.,2023,3,Airline_Financial_2023.csv
2023,-14933.77,-14933.77,246933.95,304494.72,125402.45,43260.29,28048.11,319428.49,19805,AA,American Airlines Inc.,2023,2,Airline_Financial_2023.csv
2023,-14432.11,-18885.74,,421638.09,182286.73,118497.4,,440523.82,20370,KAQ,Kalitta Air LLC,2023,3,Airline_Financial_2023.csv
2023,-13696.37,-11625.51,8449.06,8449.06,3310.43,14175.83,386.33,20074.58,20378,YV,Mesa Airlines Inc.,2023,1,Airline_Financial_2023.csv
2023,-13404.54,-14499.05,90084.45,174120.87,105986.04,10633.61,8915.07,188619.93,20416,NK,Spirit Air Lines,2023,1,Airline_Financial_2023.csv
2023,-13366.31,-6006.12,16061.32,19718.78,14817.02,3064.56,0.0,25724.9,20401,3M,Silver Airways,2023,3,Airline_Financial_2023.csv
2023,-13126.05,-6397.04,16293.04,20280.47,12384.01,3809.13,0.0,26677.51,20401,3M,Silver Airways,2023,1,Airline_Financial_2023.csv
2023,-13019.37,-24518.16,474549.02,780708.48,518505.18,58923.58,42978.21,805226.64,20436,F9,Frontier Airlines Inc.,2023,1,Airline_Financial_2023.csv
2023,-12883.61,-4544.75,101502.11,101502.11,40730.46,39934.63,4607.53,106046.85,20378,YV,Mesa Airlines Inc.,2023,3,Airline_Financial_2023.csv
2023,-12770.3,-6576.26,260648.15,260648.15,134747.68,77142.53,14601.82,267224.42,20397,OH,PSA Airlines Inc.,2023,4,Airline_Financial_2023.csv
2023,-11944.81,-11987.73,0.0,18213.98,8968.63,12498.03,0.0,30201.71,20169,L2,Lynden Air Cargo Airlines,2023,1,Airline_Financial_2023.csv
2023,-11432.24,-10380.41,12522.88,12522.88,5035.41,14734.3,598.1,22903.3,20378,YV,Mesa Airlines Inc.,2023,3,Airline_Financial_2023.csv
2023,-11376.0,-6674.0,77853.0,77930.0,26273.0,21501.0,5454.0,84605.0,19687,QX,Horizon Air,2023,1,Airline_Financial_2023.csv
2023,-10875.23,-10875.23,0.0,28421.57,26338.71,5601.15,0.0,39296.81,20108,NC,Northern Air Cargo Inc.,2023,2,Airline_Financial_2023.csv
2023,-10094.38,-5580.79,0.0,128192.4,69605.71,16517.05,15503.94,133773.19,20377,X9,Omni Air International LLC,2023,4,Airline_Financial_2023.csv
2023,-9926.79,-9765.26,29171.67,58486.71,39357.92,7904.14,0.0,68251.97,20207,XP,TEM Enterprises dba  Avelo Airlines,2023,1,Airline_Financial_2023.csv
2023,-9901.17,-2792.06,17546.22,22000.83,11461.89,2723.05,0.0,24792.89,20401,3M,Silver Airways,2023,2,Airline_Financial_2023.csv
2023,-9843.67,-10368.02,52518.78,52613.8,22988.92,25440.17,2481.61,62981.82,20046,ZW,Air Wisconsin Airlines Corp,2023,1,Airline_Financial_2023.csv
2023,-9792.21,-9635.66,28116.84,63152.63,40548.89,9000.57,0.0,72788.29,20207,XP,TEM Enterprises dba  Avelo Airlines,2023,3,Airline_Financial_2023.csv
2023,-9452.57,-6843.09,0.0,55051.39,32989.64,11038.73,,61894.47,20151,M6,Amerijet International,2023,3,Airline_Financial_2023.csv
2023,-9403.01,-9298.97,0.0,13143.83,18313.31,608.11,1858.46,22442.79,20405,N8,National Air Cargo Group Inc d/ba National Airlines,2023,3,Airline_Financial_2023.csv
2023,-9371.21,-7505.96,0.0,66661.25,39530.98,13227.54,,74167.2,20151,M6,Amerijet International,2023,3,Airline_Financial_2023.csv
2023,-9365.96,36256.76,911700.2,1104952.77,421452.27,94624.39,90730.96,1068696.01,19977,UA,United Air Lines Inc.,2023,3,Airline_Financial_2023.csv
2023,-9184.0,656.79,0.0,75886.62,39435.11,10299.56,,75229.83,20151,M6,Amerijet International,2023,4,Airline_Financial_2023.csv
2023,-8871.67,-6057.08,0.0,69246.42,43355.69,11077.22,,75303.5,20151,M6,Amerijet International,2023,1,Airline_Financial_2023.csv
2023,-8787.34,-8453.33,0.0,31003.07,26279.25,6531.2,0.0,39456.4,20108,NC,Northern Air Cargo Inc.,2023,1,Airline_Financial_2023.csv
2023,-8700.51,-8468.41,0.0,21027.79,24085.9,704.09,1454.47,29496.2,20405,N8,National Air Cargo Group Inc d/ba National Airlines,2023,1,Airline_Financial_2023.csv
2023,-8167.88,-8026.89,0.0,6045.18,11613.19,84.04,1595.37,14072.06,20405,N8,National Air Cargo Group Inc d/ba National Airlines,2023,2,Airline_Financial_2023.csv
2023,-8149.8,-7896.67,0.0,21196.69,9574.36,10813.42,0.0,29093.35,20169,L2,Lynden Air Cargo Airlines,2023,4,Airline_Financial_2023.csv
2023,-8148.5,350.79,0.0,65325.22,34059.28,8895.51,,64974.43,20151,M6,Amerijet International,2023,4,Airline_Financial_2023.csv
2023,-8091.31,-9812.77,427866.21,427954.11,154101.4,85163.24,18818.72,437766.87,20398,MQ,Envoy Air,2023,3,Airline_Financial_2023.csv
2023,-7471.02,-6775.21,0.0,31475.08,22402.58,3836.49,,38250.29,22085,GCA,"Global Crossing Airlines, Inc.",2023,2,Airline_Financial_2023.csv
2023,-7403.45,-5145.56,0.0,120998.87,71800.48,12238.97,12406.22,126144.43,20377,X9,Omni Air International LLC,2023,1,Airline_Financial_2023.csv
2023,-7378.56,-6475.44,0.0,84044.62,46633.78,12219.33,0.0,90520.05,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2023,1,Airline_Financial_2023.csv
2023,-7165.42,-7413.36,,14349.25,7446.74,8629.09,,21762.6,20372,KLQ,Kalitta Charters II,2023,3,Airline_Financial_2023.csv
2023,-7016.56,-15843.06,558365.78,620841.3,264218.57,218321.42,54662.69,636684.36,20304,OO,SkyWest Airlines Inc.,2023,3,Airline_Financial_2023.csv
2023,-6557.47,-6896.92,,46026.3,18476.81,21482.95,,52923.22,20370,KAQ,Kalitta Air LLC,2023,1,Airline_Financial_2023.csv
2023,-6514.28,-4307.17,240272.81,240272.81,134350.12,61375.21,12288.09,244579.98,20397,OH,PSA Airlines Inc.,2023,2,Airline_Financial_2023.csv
2023,-6476.65,-6372.61,0.0,120000.57,104288.14,7014.36,0.0,126373.18,20405,N8,National Air Cargo Group Inc d/ba National Airlines,2023,3,Airline_Financial_2023.csv
2023,-6459.92,-6067.77,49958.0,50056.02,19613.84,18114.41,2726.74,56123.79,20046,ZW,Air Wisconsin Airlines Corp,2023,3,Airline_Financial_2023.csv
